Chromosome	Ensembl ID	Gene Symbol	Strand
1	ENSMUSG00000102647	Gm38024	-1
1	ENSMUSG00000086235	Gm16284	-1
1	ENSMUSG00000102253	Gm38259	-1
1	ENSMUSG00000103884	Gm37005	-1
1	ENSMUSG00000084353	Gm15452	-1
1	ENSMUSG00000103933	Gm36964	1
1	ENSMUSG00000076135	Gm24276	1
1	ENSMUSG00000104504	Gm7445	1
1	ENSMUSG00000066693	Gm7493	-1
1	ENSMUSG00000102316	Gm37629	-1
1	ENSMUSG00000102871	Gm37143	1
1	ENSMUSG00000101571	Gm6187	-1
1	ENSMUSG00000104428	Gm18299	-1
1	ENSMUSG00000102272	Gm7512	1
1	ENSMUSG00000061024	Rrs1	1
1	ENSMUSG00000025911	Adhfe1	1
1	ENSMUSG00000079671	2610203C22Rik	-1
1	ENSMUSG00000081441	Gm6161	1
1	ENSMUSG00000067879	3110035E14Rik	1
1	ENSMUSG00000025912	Mybl1	-1
1	ENSMUSG00000045210	Vcpip1	-1
1	ENSMUSG00000097893	1700034P13Rik	1
1	ENSMUSG00000025915	Sgk3	1
1	ENSMUSG00000046334	Gm6195	-1
1	ENSMUSG00000046101	Mcmdc2	1
1	ENSMUSG00000098234	Snhg6	-1
1	ENSMUSG00000093178	Snord87	-1
1	ENSMUSG00000099032	Tcf24	-1
1	ENSMUSG00000104025	E330040D14Rik	1
1	ENSMUSG00000025916	Ppp1r42	-1
1	ENSMUSG00000095780	Gm24674	-1
1	ENSMUSG00000025917	Cops5	-1
1	ENSMUSG00000056763	Cspp1	1
1	ENSMUSG00000102356	1700047N06Rik	-1
1	ENSMUSG00000067851	Arfgef1	-1
1	ENSMUSG00000102556	Gm37569	-1
1	ENSMUSG00000042501	Cpa6	-1
1	ENSMUSG00000083422	Gm15604	-1
1	ENSMUSG00000081417	Gm15603	1
1	ENSMUSG00000103448	Gm37133	-1
1	ENSMUSG00000100648	Gm28659	1
1	ENSMUSG00000048960	Prex2	1
1	ENSMUSG00000077318	Gm24173	-1
1	ENSMUSG00000101827	Gm28686	-1
1	ENSMUSG00000103494	Gm37410	-1
1	ENSMUSG00000057715	A830018L16Rik	1
1	ENSMUSG00000103825	Gm38178	1
1	ENSMUSG00000099845	Gm29273	-1
1	ENSMUSG00000103561	Gm38069	1
1	ENSMUSG00000101610	Gm7560	1
1	ENSMUSG00000093864	Gm22633	1
1	ENSMUSG00000097628	Gm2383	1
1	ENSMUSG00000098163	Gm6216	1
1	ENSMUSG00000097171	Gm17644	1
1	ENSMUSG00000016918	Sulf1	1
1	ENSMUSG00000025938	Slco5a1	-1
1	ENSMUSG00000104518	Gm37162	-1
1	ENSMUSG00000069620	Gm5250	1
1	ENSMUSG00000099498	Gm29283	1
1	ENSMUSG00000042414	Prdm14	-1
1	ENSMUSG00000005886	Ncoa2	-1
1	ENSMUSG00000103506	Gm38376	-1
1	ENSMUSG00000103495	Gm37409	-1
1	ENSMUSG00000102639	Gm38223	-1
1	ENSMUSG00000104170	Gm37702	-1
1	ENSMUSG00000103085	Gm38120	-1
1	ENSMUSG00000102664	Gm38380	-1
1	ENSMUSG00000101476	Gm29570	1
1	ENSMUSG00000101171	Gm7593	-1
1	ENSMUSG00000025935	Tram1	-1
1	ENSMUSG00000025937	Lactb2	-1
1	ENSMUSG00000102982	Gm38319	-1
1	ENSMUSG00000067813	Xkr9	1
1	ENSMUSG00000097711	Gm5523	-1
1	ENSMUSG00000102166	Gm36947	-1
1	ENSMUSG00000089358	Gm25491	1
1	ENSMUSG00000025932	Eya1	-1
1	ENSMUSG00000102588	Gm37444	-1
1	ENSMUSG00000054493	Gm9947	1
1	ENSMUSG00000025930	Msc	-1
1	ENSMUSG00000103492	Gm37412	1
1	ENSMUSG00000081201	Smt3h2-ps4	-1
1	ENSMUSG00000082193	Rpl5-ps1	1
1	ENSMUSG00000032769	Trpa1	-1
1	ENSMUSG00000073737	Gm10566	-1
1	ENSMUSG00000092083	Kcnb2	1
1	ENSMUSG00000102937	Gm38116	1
1	ENSMUSG00000104149	Gm37138	1
1	ENSMUSG00000101652	Gm6060	-1
1	ENSMUSG00000025925	Terf1	1
1	ENSMUSG00000104379	Gm37509	1
1	ENSMUSG00000032719	Sbspon	-1
1	ENSMUSG00000100652	Gm7634	1
1	ENSMUSG00000067795	4930444P10Rik	-1
1	ENSMUSG00000043716	Rpl7	-1
1	ENSMUSG00000025921	Rdh10	1
1	ENSMUSG00000025920	Stau2	-1
1	ENSMUSG00000089982	Gm7568	1
1	ENSMUSG00000025939	Ube2w	-1
1	ENSMUSG00000102457	Gm38342	1
1	ENSMUSG00000079658	Eloc	-1
1	ENSMUSG00000097744	D030040B21Rik	1
1	ENSMUSG00000100959	Gm7654	-1
1	ENSMUSG00000025940	Tmem70	1
1	ENSMUSG00000025779	Ly96	1
1	ENSMUSG00000100093	Gm29649	-1
1	ENSMUSG00000091020	Gm5828	-1
1	ENSMUSG00000101640	Gm28376	1
1	ENSMUSG00000104133	4921511E07Rik	1
1	ENSMUSG00000042686	Jph1	-1
1	ENSMUSG00000100110	Gm28783	1
1	ENSMUSG00000025777	Gdap1	1
1	ENSMUSG00000099899	Gm28784	1
1	ENSMUSG00000100272	Gm28785	-1
1	ENSMUSG00000100398	Gm5251	1
1	ENSMUSG00000101589	Rbm6-ps1	-1
1	ENSMUSG00000102048	Gm6075	-1
1	ENSMUSG00000089534	Gm25166	1
1	ENSMUSG00000067780	Pi15	1
1	ENSMUSG00000100053	Gm28154	-1
1	ENSMUSG00000085125	Gm16070	-1
1	ENSMUSG00000025776	Crispld1	1
1	ENSMUSG00000099895	Gm28153	-1
1	ENSMUSG00000100554	Gm7690	1
1	ENSMUSG00000099473	Gm18775	-1
1	ENSMUSG00000099591	Gm17969	1
1	ENSMUSG00000109887	Gm28756	-1
1	ENSMUSG00000101717	Gm45784	-1
1	ENSMUSG00000025774	Crisp4	-1
1	ENSMUSG00000070977	Defb44-ps	-1
1	ENSMUSG00000073735	Defb18	-1
1	ENSMUSG00000101685	Gm17837	-1
1	ENSMUSG00000101306	Gm5252	1
1	ENSMUSG00000101644	Gm28343	1
1	ENSMUSG00000099433	Gm28344	1
1	ENSMUSG00000089787	Gm15825	-1
1	ENSMUSG00000042596	Tfap2d	1
1	ENSMUSG00000100720	Gm10075	-1
1	ENSMUSG00000025927	Tfap2b	1
1	ENSMUSG00000101117	Gm28341	-1
1	ENSMUSG00000100204	Gm4849	1
1	ENSMUSG00000102597	Gm38382	1
1	ENSMUSG00000043760	Pkhd1	-1
1	ENSMUSG00000104095	Gm37315	-1
1	ENSMUSG00000090142	Gm15795	-1
1	ENSMUSG00000099906	Gm28653	1
1	ENSMUSG00000025929	Il17a	1
1	ENSMUSG00000041872	Il17f	-1
1	ENSMUSG00000041859	Mcm3	-1
1	ENSMUSG00000099714	Gm20587	1
1	ENSMUSG00000102121	Gm28065	1
1	ENSMUSG00000097934	6720483E21Rik	-1
1	ENSMUSG00000025931	Paqr8	1
1	ENSMUSG00000077314	Gm24171	-1
1	ENSMUSG00000041809	Efhc1	1
1	ENSMUSG00000041779	Tram2	-1
1	ENSMUSG00000100819	Gm2693	1
1	ENSMUSG00000025933	Tmem14a	1
1	ENSMUSG00000102633	Gm38224	1
1	ENSMUSG00000025934	Gsta3	1
1	ENSMUSG00000099343	Gm28836	-1
1	ENSMUSG00000096375	Gm7094	1
1	ENSMUSG00000025936	Gm4956	-1
1	ENSMUSG00000093963	Gm21909	-1
1	ENSMUSG00000067750	Khdc1a	1
1	ENSMUSG00000086194	Gm16329	1
1	ENSMUSG00000094436	Gm16327	1
1	ENSMUSG00000041722	Khdc1c	1
1	ENSMUSG00000028033	Kcnq5	-1
1	ENSMUSG00000104138	Gm36949	-1
1	ENSMUSG00000082935	Gm7658	-1
1	ENSMUSG00000103748	Gm38243	-1
1	ENSMUSG00000099692	Gm5696	-1
1	ENSMUSG00000100418	Gm28239	1
1	ENSMUSG00000041670	Rims1	-1
1	ENSMUSG00000101468	Gm7761	-1
1	ENSMUSG00000101227	Gm29506	-1
1	ENSMUSG00000073730	4933415F23Rik	-1
1	ENSMUSG00000097970	Gm27028	1
1	ENSMUSG00000100775	Gm29107	1
1	ENSMUSG00000026158	Ogfrl1	-1
1	ENSMUSG00000097920	Gm7784	1
1	ENSMUSG00000099503	Gm28822	1
1	ENSMUSG00000026156	B3gat2	1
1	ENSMUSG00000026155	Smap1	-1
1	ENSMUSG00000026154	Sdhaf4	-1
1	ENSMUSG00000102495	Gm26524	1
1	ENSMUSG00000026153	Fam135a	-1
1	ENSMUSG00000102398	Gm37580	1
1	ENSMUSG00000026147	Col9a1	1
1	ENSMUSG00000026141	Col19a1	-1
1	ENSMUSG00000099997	Tubb4b-ps2	-1
1	ENSMUSG00000100131	Gm28439	-1
1	ENSMUSG00000067736	Gm10222	-1
1	ENSMUSG00000101939	Gm28438	-1
1	ENSMUSG00000101111	Gm28437	-1
1	ENSMUSG00000100862	Gm10925	-1
1	ENSMUSG00000102070	Gm28661	-1
1	ENSMUSG00000101249	Gm29216	-1
1	ENSMUSG00000073725	Lmbrd1	1
1	ENSMUSG00000100808	Gm28594	-1
1	ENSMUSG00000100483	Gm28237	-1
1	ENSMUSG00000100450	Gm9443	1
1	ENSMUSG00000033569	Adgrb3	-1
1	ENSMUSG00000080849	Gm15702	1
1	ENSMUSG00000104257	Gm20172	-1
1	ENSMUSG00000103209	Gm37331	-1
1	ENSMUSG00000104027	Gm37211	-1
1	ENSMUSG00000103214	Gm38286	-1
1	ENSMUSG00000104100	Gm37880	-1
1	ENSMUSG00000103889	Gm37011	-1
1	ENSMUSG00000101301	Gm29214	-1
1	ENSMUSG00000104221	Gm37051	-1
1	ENSMUSG00000102250	Gm38260	-1
1	ENSMUSG00000102317	Gm37628	-1
1	ENSMUSG00000103563	8030445P17Rik	-1
1	ENSMUSG00000102659	Gm37077	-1
1	ENSMUSG00000103924	Gm37895	-1
1	ENSMUSG00000104132	Gm36952	-1
1	ENSMUSG00000102747	Gm37602	-1
1	ENSMUSG00000102386	2900022M07Rik	-1
1	ENSMUSG00000103004	2900002M20Rik	-1
1	ENSMUSG00000101618	Gm18443	-1
1	ENSMUSG00000088111	Gm24064	1
1	ENSMUSG00000073722	4931408C20Rik	-1
1	ENSMUSG00000095256	n-R5s209	-1
1	ENSMUSG00000100310	Gm19641	-1
1	ENSMUSG00000101514	Gm5524	1
1	ENSMUSG00000101033	Gm18776	-1
1	ENSMUSG00000101372	Gm19028	1
1	ENSMUSG00000086240	Gm7846	-1
1	ENSMUSG00000048411	Gm597	-1
1	ENSMUSG00000081557	Gm5697	-1
1	ENSMUSG00000058590	Gm6462	1
1	ENSMUSG00000101235	Gm18033	1
1	ENSMUSG00000099492	Gm5525	-1
1	ENSMUSG00000101726	Gm7858	1
1	ENSMUSG00000096829	Gm23771	1
1	ENSMUSG00000053185	Gm9898	-1
1	ENSMUSG00000100261	Gm6473	1
1	ENSMUSG00000101180	Gm2914	-1
1	ENSMUSG00000048874	Phf3	-1
1	ENSMUSG00000103783	Gm37522	-1
1	ENSMUSG00000104315	Gm37906	-1
1	ENSMUSG00000026064	Ptp4a1	-1
1	ENSMUSG00000086151	Gm5698	-1
1	ENSMUSG00000086726	Gm9458	-1
1	ENSMUSG00000087346	Gm5699	-1
1	ENSMUSG00000100237	Gm28644	1
1	ENSMUSG00000098529	Gm27362	-1
1	ENSMUSG00000086727	4931428L18Rik	-1
1	ENSMUSG00000100910	Gm29128	1
1	ENSMUSG00000099796	Gm7893	1
1	ENSMUSG00000050217	Lgsn	1
1	ENSMUSG00000100205	Gm4850	1
1	ENSMUSG00000100592	Gm28645	1
1	ENSMUSG00000094215	Gm6489	1
1	ENSMUSG00000101093	Gm10307	1
1	ENSMUSG00000070960	Gm19680	1
1	ENSMUSG00000082159	Gm7910	1
1	ENSMUSG00000026058	Khdrbs2	1
1	ENSMUSG00000064688	Gm25814	-1
1	ENSMUSG00000103482	Gm37999	1
1	ENSMUSG00000104313	Gm37911	1
1	ENSMUSG00000102321	Gm37792	1
1	ENSMUSG00000091318	Gm5415	-1
1	ENSMUSG00000104433	Gm37426	1
1	ENSMUSG00000089395	Gm23024	1
1	ENSMUSG00000102926	Gm37151	-1
1	ENSMUSG00000100497	Gm28624	-1
1	ENSMUSG00000100481	Gm7114	1
1	ENSMUSG00000100590	Gm4785	-1
1	ENSMUSG00000100318	Gm18799	-1
1	ENSMUSG00000101612	Gm7933	1
1	ENSMUSG00000065260	Gm23453	1
1	ENSMUSG00000026134	Prim2	-1
1	ENSMUSG00000101682	Gm29228	1
1	ENSMUSG00000102714	Gm37618	-1
1	ENSMUSG00000102093	Gm17813	1
1	ENSMUSG00000103746	1700001G17Rik	1
1	ENSMUSG00000102198	Gm38173	-1
1	ENSMUSG00000004768	Rab23	1
1	ENSMUSG00000042215	Bag2	-1
1	ENSMUSG00000042197	Zfp451	-1
1	ENSMUSG00000081402	Gm15455	-1
1	ENSMUSG00000042182	Bend6	-1
1	ENSMUSG00000104416	Gm37067	-1
1	ENSMUSG00000026131	Dst	1
1	ENSMUSG00000103596	Gm37354	1
1	ENSMUSG00000099382	Gm28631	-1
1	ENSMUSG00000103364	Gm38157	1
1	ENSMUSG00000096992	Gm26788	-1
1	ENSMUSG00000103001	A930005N03Rik	-1
1	ENSMUSG00000101206	Gm5266	1
1	ENSMUSG00000101462	Gm3052	-1
1	ENSMUSG00000102336	Gm37233	-1
1	ENSMUSG00000042111	Ccdc115	-1
1	ENSMUSG00000101711	Gm28306	-1
1	ENSMUSG00000026127	Imp4	1
1	ENSMUSG00000026126	Ptpn18	1
1	ENSMUSG00000100280	Gm28417	-1
1	ENSMUSG00000101223	4930568A12Rik	-1
1	ENSMUSG00000026125	Prss39	1
1	ENSMUSG00000026124	Cfc1	1
1	ENSMUSG00000101803	Gm28419	-1
1	ENSMUSG00000037529	Prss40	-1
1	ENSMUSG00000045174	Amer3	1
1	ENSMUSG00000103521	Gm29730	-1
1	ENSMUSG00000104098	AA619741	-1
1	ENSMUSG00000037509	Arhgef4	1
1	ENSMUSG00000102537	Gm37224	1
1	ENSMUSG00000104002	Gm38336	-1
1	ENSMUSG00000037503	Fam168b	-1
1	ENSMUSG00000104358	Gm37127	1
1	ENSMUSG00000026123	Plekhb2	1
1	ENSMUSG00000103548	Gm37670	-1
1	ENSMUSG00000103760	Gm8009	1
1	ENSMUSG00000104417	Gm37068	-1
1	ENSMUSG00000101714	Gm28415	1
1	ENSMUSG00000102531	1110002O04Rik	1
1	ENSMUSG00000103096	Gm8022	1
1	ENSMUSG00000103708	Gm33222	-1
1	ENSMUSG00000104201	4930535G08Rik	1
1	ENSMUSG00000102434	Gm38049	-1
1	ENSMUSG00000045216	Hs6st1	1
1	ENSMUSG00000104523	Gm37335	-1
1	ENSMUSG00000102202	Gm33280	1
1	ENSMUSG00000037470	Uggt1	-1
1	ENSMUSG00000098752	Mir6897	-1
1	ENSMUSG00000047180	Neurl3	-1
1	ENSMUSG00000037447	Arid5a	1
1	ENSMUSG00000102762	4930403P22Rik	1
1	ENSMUSG00000010453	Kansl3	-1
1	ENSMUSG00000037432	Fer1l5	1
1	ENSMUSG00000001143	Lman2l	-1
1	ENSMUSG00000037408	Cnnm4	1
1	ENSMUSG00000001138	Cnnm3	1
1	ENSMUSG00000102845	Gm38033	-1
1	ENSMUSG00000067653	Ankrd23	-1
1	ENSMUSG00000109510	Gm42417	-1
1	ENSMUSG00000079610	Ankrd39	-1
1	ENSMUSG00000026121	Sema4c	-1
1	ENSMUSG00000087589	D430040D24Rik	1
1	ENSMUSG00000046337	Fam178b	-1
1	ENSMUSG00000089906	Gm6428	1
1	ENSMUSG00000077939	Gm24133	1
1	ENSMUSG00000061518	Cox5b	1
1	ENSMUSG00000037351	Actr1b	-1
1	ENSMUSG00000102416	4933424G06Rik	1
1	ENSMUSG00000104237	Gm33533	-1
1	ENSMUSG00000026117	Zap70	1
1	ENSMUSG00000026116	Tmem131	-1
1	ENSMUSG00000103016	Gm37506	-1
1	ENSMUSG00000102930	Gm38115	-1
1	ENSMUSG00000103159	F830112A20Rik	-1
1	ENSMUSG00000080054	Rpl12-ps1	-1
1	ENSMUSG00000095944	n-R5s210	1
1	ENSMUSG00000050122	Vwa3b	1
1	ENSMUSG00000026114	Cnga3	1
1	ENSMUSG00000026113	Inpp4a	1
1	ENSMUSG00000086064	4930439A04Rik	-1
1	ENSMUSG00000026112	Coa5	-1
1	ENSMUSG00000026111	Unc50	1
1	ENSMUSG00000026110	Mgat4a	-1
1	ENSMUSG00000103948	4930594C11Rik	-1
1	ENSMUSG00000087233	Gm43213	-1
1	ENSMUSG00000026090	2010300C02Rik	-1
1	ENSMUSG00000104365	4930470B04Rik	1
1	ENSMUSG00000060771	Tsga10	-1
1	ENSMUSG00000097268	Gm26805	1
1	ENSMUSG00000037216	Lipt1	1
1	ENSMUSG00000026088	Mitd1	-1
1	ENSMUSG00000026087	Mrpl30	1
1	ENSMUSG00000087374	Gm15457	1
1	ENSMUSG00000026085	Lyg1	-1
1	ENSMUSG00000058407	Txndc9	-1
1	ENSMUSG00000026083	Eif5b	1
1	ENSMUSG00000026082	Rev1	-1
1	ENSMUSG00000103804	Gm37062	-1
1	ENSMUSG00000102716	Gm5099	1
1	ENSMUSG00000037138	Aff3	-1
1	ENSMUSG00000085391	Gm16150	1
1	ENSMUSG00000087131	Gm16152	1
1	ENSMUSG00000102984	Gm34727	1
1	ENSMUSG00000048814	Lonrf2	-1
1	ENSMUSG00000026080	Chst10	-1
1	ENSMUSG00000103647	Gm37707	1
1	ENSMUSG00000102447	Gm6621	1
1	ENSMUSG00000067604	Nms	1
1	ENSMUSG00000026078	Pdcl3	1
1	ENSMUSG00000103046	Gm37309	1
1	ENSMUSG00000104188	Gm37821	-1
1	ENSMUSG00000103182	Gm37091	-1
1	ENSMUSG00000026077	Npas2	1
1	ENSMUSG00000092563	Gm3617	1
1	ENSMUSG00000073702	Rpl31	1
1	ENSMUSG00000003134	Tbc1d8	-1
1	ENSMUSG00000104827	Gm24826	1
1	ENSMUSG00000003135	Cnot11	1
1	ENSMUSG00000085894	Gm15832	-1
1	ENSMUSG00000077704	Snord89	-1
1	ENSMUSG00000048234	Rnf149	-1
1	ENSMUSG00000064936	Gm23722	-1
1	ENSMUSG00000102471	Gm5100	-1
1	ENSMUSG00000050967	Creg2	-1
1	ENSMUSG00000097083	D930019O06Rik	1
1	ENSMUSG00000057173	Rfx8	-1
1	ENSMUSG00000101634	1700066B17Rik	-1
1	ENSMUSG00000026074	Map4k4	1
1	ENSMUSG00000026073	Il1r2	1
1	ENSMUSG00000097899	Gm16894	-1
1	ENSMUSG00000026072	Il1r1	1
1	ENSMUSG00000103560	Gm38070	1
1	ENSMUSG00000070942	Il1rl2	1
1	ENSMUSG00000103230	Gm17970	1
1	ENSMUSG00000026069	Il1rl1	1
1	ENSMUSG00000026070	Il18r1	1
1	ENSMUSG00000026068	Il18rap	1
1	ENSMUSG00000102676	Gm37435	-1
1	ENSMUSG00000026062	Slc9a2	1
1	ENSMUSG00000103270	Gm37915	1
1	ENSMUSG00000041945	Mfsd9	-1
1	ENSMUSG00000100185	Gm28634	-1
1	ENSMUSG00000100832	Gm29260	1
1	ENSMUSG00000100178	Gm5267	1
1	ENSMUSG00000053640	Gm9915	1
1	ENSMUSG00000100180	Gm28140	-1
1	ENSMUSG00000103106	Gm37047	1
1	ENSMUSG00000060424	Pantr1	-1
1	ENSMUSG00000104199	4930420N18Rik	1
1	ENSMUSG00000093436	Gm20646	1
1	ENSMUSG00000045515	Pou3f3	1
1	ENSMUSG00000097063	Pantr2	-1
1	ENSMUSG00000099784	Dalir	1
1	ENSMUSG00000060679	Mrps9	1
1	ENSMUSG00000041907	Gpr45	1
1	ENSMUSG00000089088	Gm24001	1
1	ENSMUSG00000070939	Tgfbrap1	-1
1	ENSMUSG00000100269	Gm28782	1
1	ENSMUSG00000041878	8430432A02Rik	1
1	ENSMUSG00000010290	AI597479	1
1	ENSMUSG00000008136	Fhl2	-1
1	ENSMUSG00000094497	Gm8210	1
1	ENSMUSG00000099576	Gm29040	-1
1	ENSMUSG00000099694	Gm29610	1
1	ENSMUSG00000066877	Nck2	1
1	ENSMUSG00000103422	Gm37536	1
1	ENSMUSG00000103945	Gm38228	1
1	ENSMUSG00000026051	1500015O10Rik	1
1	ENSMUSG00000100764	Gm29155	-1
1	ENSMUSG00000100480	Gm29156	-1
1	ENSMUSG00000057363	Uxs1	-1
1	ENSMUSG00000090243	Gm16103	1
1	ENSMUSG00000100701	Gm19587	1
1	ENSMUSG00000101395	Gm8241	1
1	ENSMUSG00000041763	Tpp2	1
1	ENSMUSG00000047343	Mettl21c	-1
1	ENSMUSG00000090106	Gm15838	-1
1	ENSMUSG00000091844	Gm8251	-1
1	ENSMUSG00000026049	Tex30	-1
1	ENSMUSG00000026047	Kdelc1	-1
1	ENSMUSG00000041684	Bivm	1
1	ENSMUSG00000026048	Ercc5	1
1	ENSMUSG00000046828	Mettl21e	-1
1	ENSMUSG00000089703	Gm15833	1
1	ENSMUSG00000100769	Gm28893	1
1	ENSMUSG00000101567	Txn-ps1	-1
1	ENSMUSG00000056870	Gulp1	1
1	ENSMUSG00000102319	Gm37626	1
1	ENSMUSG00000089877	Gm16102	1
1	ENSMUSG00000101701	4930521E06Rik	-1
1	ENSMUSG00000103071	Gm38110	1
1	ENSMUSG00000100434	Gm3489	1
1	ENSMUSG00000100013	Gm19480	-1
1	ENSMUSG00000101251	Gm3496	-1
1	ENSMUSG00000101937	Gm5268	1
1	ENSMUSG00000026043	Col3a1	1
1	ENSMUSG00000026042	Col5a2	-1
1	ENSMUSG00000104476	Gm38211	-1
1	ENSMUSG00000100218	Gm8296	-1
1	ENSMUSG00000100361	Gm7063	-1
1	ENSMUSG00000100894	Gm8304	1
1	ENSMUSG00000100843	Gm8307	1
1	ENSMUSG00000025995	Wdr75	1
1	ENSMUSG00000099850	Gm28906	-1
1	ENSMUSG00000084817	Gm5526	-1
1	ENSMUSG00000098549	Gm5269	-1
1	ENSMUSG00000099381	Gm18303	1
1	ENSMUSG00000025993	Slc40a1	-1
1	ENSMUSG00000099946	Gm9496	1
1	ENSMUSG00000070896	Rpl23a-ps1	1
1	ENSMUSG00000099432	Gm18849	1
1	ENSMUSG00000041144	Dnah7b	1
1	ENSMUSG00000096047	n-R5s211	1
1	ENSMUSG00000101262	Gm8326	1
1	ENSMUSG00000101337	Dnah7c	1
1	ENSMUSG00000025986	Slc39a10	-1
1	ENSMUSG00000100213	Gm28151	-1
1	ENSMUSG00000103129	Gm37393	-1
1	ENSMUSG00000100160	Gm28527	-1
1	ENSMUSG00000101447	Gm28826	1
1	ENSMUSG00000081185	Gm4852	-1
1	ENSMUSG00000103246	Gm38090	-1
1	ENSMUSG00000100530	Gm18117	1
1	ENSMUSG00000100033	Gm8337	1
1	ENSMUSG00000096973	Gm5974	-1
1	ENSMUSG00000101721	Gm8354	-1
1	ENSMUSG00000099376	Gm19124	1
1	ENSMUSG00000097883	Gm8357	1
1	ENSMUSG00000099454	Gm8367	1
1	ENSMUSG00000099627	Gm6757	-1
1	ENSMUSG00000099608	4933411E06Rik	1
1	ENSMUSG00000084531	Gm25843	1
1	ENSMUSG00000100816	Gm28321	1
1	ENSMUSG00000026109	Tmeff2	1
1	ENSMUSG00000100671	Gm28322	1
1	ENSMUSG00000099924	Gm28320	1
1	ENSMUSG00000099625	Gm29325	1
1	ENSMUSG00000101799	9330175M20Rik	-1
1	ENSMUSG00000045954	Cavin2	1
1	ENSMUSG00000099741	Gm5253	-1
1	ENSMUSG00000026107	Nabp1	-1
1	ENSMUSG00000099413	Gm17767	-1
1	ENSMUSG00000103424	Gm37535	-1
1	ENSMUSG00000101741	Gm28055	-1
1	ENSMUSG00000018417	Myo1b	-1
1	ENSMUSG00000101724	Gm29453	-1
1	ENSMUSG00000100313	Gm28323	-1
1	ENSMUSG00000100696	Gm8419	-1
1	ENSMUSG00000072324	Gm8420	-1
1	ENSMUSG00000062939	Stat4	1
1	ENSMUSG00000101628	Gm28177	1
1	ENSMUSG00000078291	Gm3940	-1
1	ENSMUSG00000109599	Gm31812	-1
1	ENSMUSG00000026104	Stat1	1
1	ENSMUSG00000026103	Gls	-1
1	ENSMUSG00000002881	Nab1	-1
1	ENSMUSG00000097833	Gm5976	-1
1	ENSMUSG00000101501	Rps27a-ps1	1
1	ENSMUSG00000100120	Gm553	1
1	ENSMUSG00000100007	Gm5527	1
1	ENSMUSG00000043015	Nemp2	1
1	ENSMUSG00000103630	Gm37242	-1
1	ENSMUSG00000041439	Mfsd6	-1
1	ENSMUSG00000026102	Inpp1	-1
1	ENSMUSG00000041426	Hibch	1
1	ENSMUSG00000089802	Gm16107	-1
1	ENSMUSG00000043629	1700019D03Rik	-1
1	ENSMUSG00000026100	Mstn	1
1	ENSMUSG00000060715	1700019A02Rik	-1
1	ENSMUSG00000026098	Pms1	-1
1	ENSMUSG00000026097	Ormdl1	1
1	ENSMUSG00000100679	Gm28778	1
1	ENSMUSG00000026096	Osgepl1	1
1	ENSMUSG00000099913	Gm28551	-1
1	ENSMUSG00000101838	Gm18800	-1
